source_id	raw_company_name	normalized_company_name	country	city	company_type	source_type	url_or_file	official_registration	keywords_found	excluded_keywords_found	omasum_level	evidence_level	development_distance	source_truth	weekly_supply_potential	undervaluation_signal	processing_control	route_feasibility	communication_trust	risk_flags	score	radar_score	priority_grade	status	next_action	notes	updated_at
auto-uruguay-meats-exporters-frigorifico-schneck-116t22a	FRIGORÍFICO Schneck	FRIGORÍFICO Schneck	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-schneck/	INAC-52	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 52: FRIGORÍFICO Schneck 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-52	2026-06-02
auto-uruguay-meats-exporters-frigosalto-somicar-1dlw1hx	FRIGOSALTO – Somicar S.A.	FRIGOSALTO – Somicar	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigosalto-somicar-s-a/	INAC-74	frigorifico		O1	E1	D2								62	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 74: FRIGOSALTO – Somicar S.A. 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-74	2026-06-02
auto-uruguay-meats-exporters-frigoyi-bilacor-13x0g5r	Frigoyi – Bilacor S.A.	Frigoyi – Bilacor	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigoyi-bilacor-s-a/	INAC-26	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 26: Frigoyi – Bilacor S.A. 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-26	2026-06-02
auto-uruguay-meats-exporters-frigorifico-rosario-rondatel-s0j27z	Frigorifico Rosario – Rondatel S.A.	Frigorifico Rosario – Rondatel	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-rondatel/	INAC-22	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 22: Frigorifico Rosario – Rondatel S.A. 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-22	2026-06-02
auto-uruguay-meats-exporters-frigorifico-durazno-8pz936	Frigorífico durazno	Frigorífico durazno	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-durazno/	INAC-14	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 14: Frigorífico durazno 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-14	2026-06-02
auto-uruguay-meats-exporters-frigorifico-san-jacinto-1usvf2n	Frigorífico San Jacinto	Frigorífico San Jacinto	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-san-jacinto/	INAC-344	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 344: Frigorífico San Jacinto 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-344	2026-06-02
auto-uruguay-meats-exporters-frigorifico-modelo-1xdfek0	Frigorifico Modelo S.A	Frigorifico Modelo	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-modelo-s-a/	INAC-20	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 20: Frigorifico Modelo S.A 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-20	2026-06-02
auto-uruguay-meats-exporters-solis-meat-uruguay-11ix2t2	Solís Meat Uruguay	Solís Meat Uruguay	Uruguay		exporter	official_list	https://uymeats.com/product/solis-meat-uruguay/	INAC-150			O0	E1	D3								44	18	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 150: Solís Meat Uruguay 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-150	2026-06-02
auto-uruguay-meats-exporters-frigorifico-las-moras-k9hgtl	Frigorífico Las Moras	Frigorífico Las Moras	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-las-moras/	INAC-104	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 104: Frigorífico Las Moras 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-104	2026-06-02
auto-uruguay-meats-exporters-frigorifico-canelones-4ewacm	Frigorifico Canelones S.A	Frigorifico Canelones	Uruguay		frigorifico	official_list	https://uymeats.com/product/frigorifico-canelones-s-a/	INAC-8	frigorifico		O1	E1	D2								58	26	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 8: Frigorifico Canelones S.A 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-8	2026-06-02
auto-uruguay-meats-exporters-marfrig-global-foods-1d5mz2c	Marfrig Global Foods	Marfrig Global Foods	Uruguay		exporter	official_list	https://uymeats.com/product/marfrig-global-foods/	INAC-12			O0	E1	D3								44	18	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 12: Marfrig Global Foods 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-12	2026-06-02
auto-uruguay-meats-exporters-minerva-foods-1kdf4hc	Minerva Foods	Minerva Foods	Uruguay		exporter	official_list	https://uymeats.com/product/minerva-foods/	INAC-3-7-8			O0	E1	D3								44	18	E	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Uruguay Meats exporter card No. 3,7 & 8: Minerva Foods 自动采集：乌拉圭 Uruguay Meats 出口商目录；结构化解析：Uruguay Meats exporter card；官方编号：INAC-3-7-8	2026-06-02
auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	FRIGORIFICO FRIGOMERC S.A.	FRIGORIFICO FRIGOMERC	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-2	SENACSA-2	frigorifico		O1	E1	D2								58	87	A	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, DINAMARCA, ESLOVENIA, ITALIA, PAISES BAJOS, PORTUGAL, REINO UNIDO, REPUBLICA CHECA 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-2	2026-06-02
auto-paraguay-senacsa-frigorificos-matadero-frigorifico-san-antonio-1op5dre	MATADERO FRIGORIFICO SAN ANTONIO	MATADERO FRIGORIFICO SAN ANTONIO	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-3	SENACSA-3	frigorifico;matadero		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, ITALIA, PAISES BAJOS, PORTUGAL, REINO UNIDO, ESPAÑA, ALBANIA, ANGOLA 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-3	2026-06-02
auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	FRIGORIFICO GUARANI S.A.C.I.	FRIGORIFICO GUARANI C I	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-7	SENACSA-7	frigorifico		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, ITALIA, PAISES BAJOS, ALBANIA, ARUBA, CONGO, CUBA, GABON 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-7	2026-06-02
auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy	FRIGORIFICO LOMBARDO	FRIGORIFICO LOMBARDO	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-8	SENACSA-8	frigorifico		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, ITALIA, PAISES BAJOS, PORTUGAL, ESPAÑA, CONGO, CUBA, CURACAO 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-8	2026-06-02
auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig	FRIGOCHORTI	FRIGOCHORTI	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-9	SENACSA-9	frigorifico		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, PAISES BAJOS, ALBANIA, GABON, KOSOVO, MACEDONIA DEL NORTE, URUGUAY, BRASIL 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-9	2026-06-02
auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta	FRIGORIFICO FRIGOCHACO	FRIGORIFICO FRIGOCHACO	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-10	SENACSA-10	frigorifico		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, FRANCIA, ITALIA, PAISES BAJOS, PORTUGAL, ESPAÑA, ALBANIA, ANGOLA 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-10	2026-06-02
auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz	FRIGORIFICO BELEN	FRIGORIFICO BELEN	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-23	SENACSA-23	frigorifico		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, DINAMARCA, ITALIA, PAISES BAJOS, PORTUGAL, REINO UNIDO, ESPAÑA, ALBANIA 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-23	2026-06-02
auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk	FRIGORIFICO CONCEPCION S.A.	FRIGORIFICO CONCEPCION	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-38	SENACSA-38	frigorifico		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB), Grasa Bovina (EGB); Clasificacion destino: UNION EUROPEA, OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALEMANIA, ITALIA, PAISES BAJOS, PORTUGAL, REINO UNIDO, ALBANIA, ANGOLA, ANTIGUA Y BARBUDA 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-38	2026-06-02
auto-paraguay-senacsa-frigorificos-avicar-foods-1b8gth8	AVICAR FOODS	AVICAR FOODS	Paraguay		exporter	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-11	SENACSA-11	frigorifico		O1	E1	D2								49	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALBANIA, COMORAS, KOSOVO, BRASIL, TAIWAN, VIETNAM, BARBADOS, CAMBOYA(KAMPUCHEA) 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-11	2026-06-02
auto-paraguay-senacsa-frigorificos-frigorifico-victoria-10h2fz0	FRIGORIFICO VICTORIA	FRIGORIFICO VICTORIA	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-14	SENACSA-14	frigorifico		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALBANIA, ANGOLA, ANTIGUA Y BARBUDA, ANTILLAS NEERLANDESAS, ARGENTINA, ARMENIA, ARUBA, AZERBAIJAN 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-14	2026-06-02
auto-paraguay-senacsa-frigorificos-frigorifico-norte-kxkeza	FRIGORIFICO NORTE S.A.	FRIGORIFICO NORTE	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-15	SENACSA-15	frigorifico		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: OTROS MERCADOS, HABILITADOS POR PAIS IMPORTADOR; Pais destino: ALBANIA, ANGOLA, ANTIGUA Y BARBUDA, ANTILLAS NEERLANDESAS, BAHREIN, COSTA DE MARFIL, CURACAO, GABON 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-15	2026-06-02
auto-paraguay-senacsa-frigorificos-matadero-frigorifico-concepcion-roque-alonso-1u6hrq	MATADERO FRIGORIFICO CONCEPCION S.A. ROQUE ALONSO	MATADERO FRIGORIFICO CONCEPCION ROQUE ALONSO	Paraguay		frigorifico	official_list	https://docs.google.com/spreadsheets/d/1nDixRDexsnfC9ieAkWxrqNryysK9UoHZ/export?format=csv#registro-SENACSA-42	SENACSA-42	frigorifico;matadero		O1	E1	D2								58	38	D	未联系	补证据：确认是否为 omasum / omaso / librillo / folhoso	Mercaderia: Carne Bovina (ECB), Menudencia Bovina (EMB); Clasificacion destino: HABILITADOS POR PAIS IMPORTADOR, OTROS MERCADOS; Pais destino: KUWAIT, ANGOLA, CONGO, COSTA DE MARFIL, GABON, GHANA, GUINEA ECUATORIAL, LIBERIA 自动采集：巴拉圭 SENACSA 出口 frigoríficos 名单；结构化解析：SENACSA Google Sheets；官方注册号：SENACSA-42	2026-06-02
