radar_id	source_id	company_key	normalized_company_name	country	official_score	supply_score	byproduct_score	export_readiness_score	market_whitespace_score	contactability_score	radar_score	priority_grade	invisible_supply_rationale	recommended_verification	capability_refs	capacity_refs	approval_refs	scored_at
radar-auto-uruguay-meats-exporters-frigorifico-schneck-116t22a-2026-05-21	auto-uruguay-meats-exporters-frigorifico-schneck-116t22a	uruguay:frigorifico schneck	FRIGORÍFICO Schneck	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigosalto-somicar-1dlw1hx-2026-05-21	auto-uruguay-meats-exporters-frigosalto-somicar-1dlw1hx	uruguay:frigosalto somicar	FRIGOSALTO – Somicar	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigoyi-bilacor-13x0g5r-2026-05-21	auto-uruguay-meats-exporters-frigoyi-bilacor-13x0g5r	uruguay:frigoyi bilacor	Frigoyi – Bilacor	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-rosario-rondatel-s0j27z-2026-05-21	auto-uruguay-meats-exporters-frigorifico-rosario-rondatel-s0j27z	uruguay:frigorifico rosario rondatel	Frigorifico Rosario – Rondatel	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-durazno-8pz936-2026-05-21	auto-uruguay-meats-exporters-frigorifico-durazno-8pz936	uruguay:frigorifico durazno	Frigorífico durazno	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-san-jacinto-1usvf2n-2026-05-21	auto-uruguay-meats-exporters-frigorifico-san-jacinto-1usvf2n	uruguay:frigorifico san jacinto	Frigorífico San Jacinto	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-modelo-1xdfek0-2026-05-21	auto-uruguay-meats-exporters-frigorifico-modelo-1xdfek0	uruguay:frigorifico modelo	Frigorifico Modelo	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-solis-meat-uruguay-11ix2t2-2026-05-21	auto-uruguay-meats-exporters-solis-meat-uruguay-11ix2t2	uruguay:solis meat uruguay	Solís Meat Uruguay	Uruguay	15	0	0	0	0	3	18	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-las-moras-k9hgtl-2026-05-21	auto-uruguay-meats-exporters-frigorifico-las-moras-k9hgtl	uruguay:frigorifico las moras	Frigorífico Las Moras	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-frigorifico-canelones-4ewacm-2026-05-21	auto-uruguay-meats-exporters-frigorifico-canelones-4ewacm	uruguay:frigorifico canelones	Frigorifico Canelones	Uruguay	15	0	8	0	0	3	26	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-marfrig-global-foods-1d5mz2c-2026-05-21	auto-uruguay-meats-exporters-marfrig-global-foods-1d5mz2c	uruguay:marfrig global foods	Marfrig Global Foods	Uruguay	15	0	0	0	0	3	18	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-uruguay-meats-exporters-minerva-foods-1kdf4hc-2026-05-21	auto-uruguay-meats-exporters-minerva-foods-1kdf4hc	uruguay:minerva foods	Minerva Foods	Uruguay	15	0	0	0	0	3	18	E	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Confirm export certificate experience, approved markets, and cold-chain route to port.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe-2026-05-21	auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	paraguay:frigorifico frigomerc	FRIGORIFICO FRIGOMERC	Paraguay	25	25	20	12	0	5	87	A	official factory capability present; plant-level slaughter/capacity signal present; export approval/readiness signal present; market whitespace unknown because no bill dataset is loaded	Contact plant or local verifier; ask for current omasum/librillo handling video, weekly headcount, and export certificate path.	factory-paraguay-senacsa-faena-senacsa-2	capacity-paraguay-senacsa-faena-senacsa-2	approval-paraguay-senacsa-faena-senacsa-2	2026-05-21
radar-auto-paraguay-senacsa-frigorificos-matadero-frigorifico-san-antonio-1op5dre-2026-05-21	auto-paraguay-senacsa-frigorificos-matadero-frigorifico-san-antonio-1op5dre	paraguay:matadero frigorifico san antonio	MATADERO FRIGORIFICO SAN ANTONIO	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y-2026-05-21	auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	paraguay:frigorifico guarani c i	FRIGORIFICO GUARANI C I	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy-2026-05-21	auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy	paraguay:frigorifico lombardo	FRIGORIFICO LOMBARDO	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig-2026-05-21	auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig	paraguay:frigochorti	FRIGOCHORTI	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta-2026-05-21	auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta	paraguay:frigorifico frigochaco	FRIGORIFICO FRIGOCHACO	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz-2026-05-21	auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz	paraguay:frigorifico belen	FRIGORIFICO BELEN	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk-2026-05-21	auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk	paraguay:frigorifico concepcion	FRIGORIFICO CONCEPCION	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-avicar-foods-1b8gth8-2026-05-21	auto-paraguay-senacsa-frigorificos-avicar-foods-1b8gth8	paraguay:avicar foods	AVICAR FOODS	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigorifico-victoria-10h2fz0-2026-05-21	auto-paraguay-senacsa-frigorificos-frigorifico-victoria-10h2fz0	paraguay:frigorifico victoria	FRIGORIFICO VICTORIA	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-frigorifico-norte-kxkeza-2026-05-21	auto-paraguay-senacsa-frigorificos-frigorifico-norte-kxkeza	paraguay:frigorifico norte	FRIGORIFICO NORTE	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
radar-auto-paraguay-senacsa-frigorificos-matadero-frigorifico-concepcion-roque-alonso--2026-05-21	auto-paraguay-senacsa-frigorificos-matadero-frigorifico-concepcion-roque-alonso-1u6hrq	paraguay:matadero frigorifico concepcion roque alonso	MATADERO FRIGORIFICO CONCEPCION ROQUE ALONSO	Paraguay	15	0	20	0	0	3	38	D	official capability unknown; slaughter/capacity unknown; export approval unknown; market whitespace unknown because no bill dataset is loaded	Ask for monthly slaughter or collection volume and whether omasum is handled internally or by a triperia.				2026-05-21
